OBJECTID,the_geom,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_Altern,DesDate,LandmarkTy,URL_REPORT
1,"MULTIPOLYGON (((-74.09145318437727 40.64302777925549, -74.0914226952439 40.64292509393507, -74.09141559050897 40.64290116559638, -74.09193861393138 40.642814080914604, -74.09199788584148 40.64301370463047, -74.09147486211141 40.6431007877779, -74.09145318437727 40.64302777925549)))",SI,58,27,105 Franklin Avenue,5000580027,105 Franklin Avenue House,LP-00330,"Borough of Richmond Tax Map Block 58, Lot 27.",also known as Hamilton Park Cottage,10/13/1970 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0330.pdf
2,"MULTIPOLYGON (((-74.15192193203103 40.58295935113134, -74.15199518138749 40.58288801641331, -74.15215337886448 40.58273395410877, -74.15247184698494 40.582423803506025, -74.15272952955463 40.58217284780244, -74.15296199479684 40.58195613874214, -74.15319779377076 40.581736229696496, -74.15365082355957 40.58131236615987, -74.15546730853794 40.58228484825162, -74.15521015324737 40.58254448685449, -74.15499265202463 40.58276408806885, -74.15485465512859 40.58290341518701, -74.15463537808476 40.583124805650435, -74.15442489163436 40.58333731820449, -74.15429451665634 40.58346894841312, -74.15408236176154 40.5836831429503, -74.15386604450525 40.583901539110606, -74.15378788683681 40.58398044509553, -74.15192193203103 40.58295935113134)))",SI,2390,194,435 Richmond Hill Road,5023900194,Decker Farmhouse,LP-00369,"Borough of Richmond Tax Map Block 2390, Lot 194.",,12/13/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0369.pdf
3,"MULTIPOLYGON (((-74.07790665812387 40.63378980656276, -74.07804551835702 40.63347318428897, -74.07821373514773 40.63351538900072, -74.07824844370971 40.633407833448544, -74.07876953467911 40.63351164344518, -74.07861592335311 40.63398765872439, -74.07790665812387 40.63378980656276)))",SI,506,81,98 Grant Street,5005060081,Public School 15 (Daniel D. Tompkins School),LP-01877,"Borough of Staten Island Tax Map Block 506, Lot 81.",,11/19/1996 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1877.pdf
4,"MULTIPOLYGON (((-74.13066516743713 40.6371690161479, -74.13072495718542 40.636910200930544, -74.13103559533661 40.637045723193495, -74.1309316110044 40.63718933677408, -74.13066516743713 40.6371690161479)))",SI,1015,9,121 Heberton Avenue,5010150009,121 Heberton Avenue House,LP-02120,"Borough of the Staten Island Tax Map Block 1015, Lot 9.",,12/17/2002 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2120.pdf
5,"MULTIPOLYGON (((-74.13863423148467 40.57340207534613, -74.13828945441671 40.572821064708116, -74.13880797871434 40.5727586353537, -74.13916717832565 40.57336393936442, -74.13864864848193 40.57342636943769, -74.13863423148467 40.57340207534613)))",SI,2281,155,3531 Richmond Road,5022810155,Reverend David Moore House,LP-00366,"Borough of Richmond Tax Map Block 2282, Lot 155.",also known as the Moore-McMillen House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0366.pdf
6,"MULTIPOLYGON (((-74.12325538146878 40.62867685040764, -74.12357012115466 40.628550267690876, -74.12381705023218 40.628925175092235, -74.12352511312119 40.6290436283973, -74.12350296352706 40.62905275195167, -74.12325538146878 40.62867685040764)))",SI,230,33,752 Delafield Avenue,5002300033,752 Delafield Avenue,LP-00342,"Borough of Richmond Tax Map Block 230, Lot 33.",also known as the Scott-Edwards House,08/24/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0342.pdf
7,"MULTIPOLYGON (((-74.07822630434428 40.63147388536034, -74.07836583204387 40.63120060057565, -74.07854191260495 40.631252467433846, -74.0784016590792 40.63152717844868, -74.07822630434428 40.63147388536034)))",SI,514,30,63 William Street,5005140030,Mary and David Burgher House,LP-02367,"Borough of Staten Island Tax Map Block 514, Lot 30",,01/12/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2367.pdf
8,"MULTIPOLYGON (((-74.0765201471332 40.642546970633724, -74.07583998709488 40.642850781606406, -74.07552349197444 40.64243486565573, -74.0755096576941 40.64241378009179, -74.07549718616237 40.642387177054445, -74.07549209538863 40.64237129164591, -74.07548860383358 40.64235514673851, -74.0754866908406 40.642338248861726, -74.07548654713798 40.64232094819217, -74.07548849285467 40.64230198379363, -74.07549314752907 40.64228141829556, -74.07549817411386 40.64226669962063, -74.07550309805302 40.64225529852349, -74.07551133339972 40.642239795190385, -74.07553383326837 40.64220357145997, -74.07555530146884 40.64217606182118, -74.0755707936976 40.64215901112711, -74.07558574233646 40.64214424720504, -74.07560790531029 40.6421248066472, -74.07562850113084 40.64210888724308, -74.07565109059395 40.64209339066806, -74.07567398447733 40.64207947249745, -74.07570302993172 40.64206404010296, -74.07572376756849 40.642054366585725, -74.07574306590637 40.64204627532352, -74.07575995802314 40.642039860608016, -74.07577520226826 40.642034578027314, -74.07579065620729 40.64202969063406, -74.0758041890169 40.642025782468416, -74.07582035892163 40.64202155107732, -74.07584186799453 40.6420166353707, -74.07585994438857 40.64201311232536, -74.0758807186946 40.64200972887841, -74.07590719602092 40.6420064713381, -74.0759303606488 40.642005113371866, -74.07594897173234 40.64200501193039, -74.075967624015 40.642005792966984, -74.07598941881453 40.64200783895379, -74.07601130254263 40.64201115370848, -74.07602893193086 40.64201478105025, -74.07604614253603 40.64201919121695, -74.0760663451048 40.64202553551714, -74.0760844475056 40.64203238729483, -74.07610828816117 40.64204330021334, -74.07611970204896 40.64204938466743, -74.07613066711288 40.642055825122405, -74.07614228008072 40.64206335567545, -74.07615325624894 40.64207123514975, -74.07616484517816 40.642080486607554, -74.07617526614543 40.6420897721571, -74.07618691699633 40.64210148108705, -74.0765201471332 40.642546970633724)))",SI,7,1,2-10 Richmond Terrace,5000070001,Staten Island Borough Hall,LP-01207,"Borough of Staten Island Tax Map Block 7, Lot 1.",,03/23/1982 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1207.pdf
9,"MULTIPOLYGON (((-74.13298502411244 40.57839968605887, -74.13348414712823 40.57827000883392, -74.1335050431313 40.578315835692756, -74.13359250651688 40.57850764313697, -74.13359676558963 40.578506536842056, -74.13362632152037 40.57857135198646, -74.13362206244572 40.57857245918297, -74.13364344263162 40.57861934446998, -74.13374701650548 40.57884648046266, -74.13350290223742 40.57886848956049, -74.13322274921336 40.57892102451167, -74.13298502411244 40.57839968605887)))",SI,2268,180,190 Meisner Avenue,5022680180,Nathaniel J. and Ann C. Wyeth House,LP-02253,"Borough of Staten Island Tax Map Block 2268, Lot 180",,05/15/2007 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2253.pdf
10,"MULTIPOLYGON (((-74.09235803508138 40.641730382892355, -74.09236110522806 40.64172783105766, -74.09237056605393 40.64172000515396, -74.09238169617474 40.64171051014748, -74.09239375624978 40.64169985722608, -74.09240642378798 40.641688224050725, -74.09241797263736 40.641677199623224, -74.09243163992771 40.64166359530629, -74.09244579499878 40.64164880911484, -74.09246070912097 40.64163238606857, -74.09247509079266 40.64161563025648, -74.09248857181781 40.64159900664274, -74.09250203491747 40.641581396073065, -74.09251420095657 40.64156449345264, -74.09252626403843 40.64154666518026, -74.09253707039896 40.6415296483849, -74.09254262218802 40.64152046582886, -74.09254922192758 40.64150911578071, -74.0925556310905 40.641497590284395, -74.09256191568778 40.64148575150738, -74.09258755017716 40.641427889642465, -74.09300957674532 40.64161062456577, -74.09282277745368 40.64190187182138, -74.09272534198304 40.641973620921355, -74.09266986541307 40.64201447265142, -74.09235803508138 40.641730382892355)))",SI,64,155,22 Pendleton Place,5000640155,22 Pendleton Place House,LP-00332,"Borough of Richmond Tax Map Block 64, Lot 155.",also known as the W. S. Pendleton House,03/04/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0332.pdf
